ticket_number,subject,description,channel,customer_tier,description_length,contains_payment_keyword,contains_outage_keyword,exclamation_count,priority
332,Payment charged twice,My card was charged twice for the same subscription payment.,chat,free,60,1,0,0,medium
333,Password reset,I need instructions for resetting my account password.,chat,free,54,0,0,0,low
334,Feature question,Could you explain how to use the reporting feature?,email,free,51,0,0,0,low
335,Critical application error,The application returns an error for every user in our account. Please help as soon as possible!,email,pro,96,0,1,1,high
336,Update profile,I need help updating profile preferences in account settings. Please help as soon as possible!,web,pro,94,0,0,1,low
337,Feature question,Could you explain how to use the reporting feature?,web,enterprise,51,0,0,0,medium
338,Refund request,I need help with a refund for an unexpected payment. Please help as soon as possible!,chat,free,85,1,0,1,medium
339,Update profile,I need help updating profile preferences in account settings.,web,pro,61,0,0,0,low
340,Payment charged twice,My card was charged twice for the same subscription payment.,email,enterprise,60,1,0,0,high
341,Feature question,Could you explain how to use the reporting feature?,email,free,51,0,0,0,low
342,Feature question,Could you explain how to use the reporting feature?,chat,enterprise,51,0,0,0,medium
343,Password reset,I need instructions for resetting my account password.,chat,free,54,0,0,0,low
344,Password reset,I need instructions for resetting my account password. Please help as soon as possible!,chat,pro,87,0,0,1,low
345,Invoice issue,The invoice amount is incorrect and requires clarification.,email,free,59,1,0,0,medium
346,Password reset,I need instructions for resetting my account password.,chat,free,54,0,0,0,low
347,Login outage,Users cannot log in to the product and work is blocked.,email,free,55,0,1,0,high
348,Refund request,I need help with a refund for an unexpected payment.,chat,pro,52,1,0,0,medium
349,Payment charged twice,My card was charged twice for the same subscription payment.,email,pro,60,1,0,0,medium
350,Password reset,I need instructions for resetting my account password.,chat,pro,54,0,0,0,low
351,Payment charged twice,My card was charged twice for the same subscription payment.,email,enterprise,60,1,0,0,high
352,Feature question,Could you explain how to use the reporting feature?,chat,pro,51,0,0,0,low
353,Update profile,I need help updating profile preferences in account settings.,email,pro,61,0,0,0,low
354,Invoice issue,The invoice amount is incorrect and requires clarification.,web,free,59,1,0,0,medium
355,Password reset,I need instructions for resetting my account password. Please help as soon as possible!,email,pro,87,0,0,1,low
356,Payment charged twice,My card was charged twice for the same subscription payment.,web,free,60,1,0,0,medium
357,Payment charged twice,My card was charged twice for the same subscription payment.,chat,free,60,1,0,0,medium
358,Password reset,I need instructions for resetting my account password.,chat,pro,54,0,0,0,low
359,Password reset,I need instructions for resetting my account password.,email,free,54,0,0,0,low
360,Update profile,I need help updating profile preferences in account settings.,chat,free,61,0,0,0,low
361,Password reset,I need instructions for resetting my account password.,web,enterprise,54,0,0,0,medium
362,Refund request,I need help with a refund for an unexpected payment.,chat,free,52,1,0,0,medium
363,Login outage,Users cannot log in to the product and work is blocked.,email,free,55,0,1,0,high
364,Update profile,I need help updating profile preferences in account settings.,email,pro,61,0,0,0,low
365,Feature question,Could you explain how to use the reporting feature?,web,free,51,0,0,0,low
366,Service is unavailable,Our team cannot access the dashboard and the service is unavailable. Please help as soon as possible!,web,pro,101,0,1,1,high
367,Update profile,I need help updating profile preferences in account settings. Please help as soon as possible!,email,free,94,0,0,1,high
368,Update profile,I need help updating profile preferences in account settings.,email,pro,61,0,0,0,low
369,Payment charged twice,My card was charged twice for the same subscription payment.,email,pro,60,1,0,0,medium
370,Feature question,Could you explain how to use the reporting feature?,web,pro,51,0,0,0,low
371,Payment charged twice,My card was charged twice for the same subscription payment.,web,pro,60,1,0,0,medium
372,Password reset,I need instructions for resetting my account password.,web,enterprise,54,0,0,0,medium
373,Refund request,I need help with a refund for an unexpected payment.,web,pro,52,1,0,0,medium
374,Payment charged twice,My card was charged twice for the same subscription payment.,chat,free,60,1,0,0,medium
375,Feature question,Could you explain how to use the reporting feature?,web,free,51,0,0,0,medium
376,Password reset,I need instructions for resetting my account password.,web,free,54,0,0,0,low
377,Feature question,Could you explain how to use the reporting feature?,chat,free,51,0,0,0,low
378,Invoice issue,The invoice amount is incorrect and requires clarification.,web,pro,59,1,0,0,medium
379,Password reset,I need instructions for resetting my account password.,web,pro,54,0,0,0,low
380,Payment charged twice,My card was charged twice for the same subscription payment.,email,enterprise,60,1,0,0,high
381,Feature question,Could you explain how to use the reporting feature?,email,pro,51,0,0,0,low
382,Refund request,I need help with a refund for an unexpected payment.,chat,free,52,1,0,0,medium
383,Invoice issue,The invoice amount is incorrect and requires clarification.,chat,free,59,1,0,0,medium
384,Feature question,Could you explain how to use the reporting feature?,email,free,51,0,0,0,low
385,Payment charged twice,My card was charged twice for the same subscription payment.,email,free,60,1,0,0,medium
386,Payment charged twice,My card was charged twice for the same subscription payment.,email,free,60,1,0,0,medium
387,Invoice issue,The invoice amount is incorrect and requires clarification.,web,free,59,1,0,0,medium
388,Password reset,I need instructions for resetting my account password.,chat,free,54,0,0,0,low
389,Critical application error,The application returns an error for every user in our account.,chat,free,63,0,1,0,high
390,Password reset,I need instructions for resetting my account password. Please help as soon as possible!,email,pro,87,0,0,1,low
391,Service is unavailable,Our team cannot access the dashboard and the service is unavailable.,chat,free,68,0,1,0,low
392,Critical application error,The application returns an error for every user in our account.,chat,free,63,0,1,0,high
393,Feature question,Could you explain how to use the reporting feature? Please help as soon as possible!,web,free,84,0,0,1,low
394,Critical application error,The application returns an error for every user in our account.,web,free,63,0,1,0,high
395,Update profile,I need help updating profile preferences in account settings.,email,enterprise,61,0,0,0,medium
396,Feature question,Could you explain how to use the reporting feature?,chat,free,51,0,0,0,low
397,Invoice issue,The invoice amount is incorrect and requires clarification.,email,enterprise,59,1,0,0,high
398,Password reset,I need instructions for resetting my account password. Please help as soon as possible!,web,pro,87,0,0,1,low
399,Update profile,I need help updating profile preferences in account settings. Please help as soon as possible!,web,free,94,0,0,1,low
400,Refund request,I need help with a refund for an unexpected payment.,web,enterprise,52,1,0,0,high
